Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
REAL SOCIEDAD,LEGANÉS,3-0,0-0,5.2,7.4,5.2,62,38,8.0,6.0,15.0,1.0,4.0,30.0,83.0,12.0,17.0,10.0,4.0,0.0,0.0,5.0,3.0,8.0,0.0,1.0,29.0,72.0,16.0,20.0,16.0,2.0,0.0,0.0
BARCELONA,VALLADOLID,1-0,1-0,4.4,7.2,5.4,61,39,7.0,8.0,20.0,5.0,3.0,14.0,90.0,12.0,15.0,12.0,1.0,0.0,0.0,6.0,0.0,10.0,4.0,5.0,11.0,80.0,10.0,15.0,18.0,3.0,0.0,0.0
REAL MADRID,GIRONA,1-2,1-0,7.3,4.5,7.5,57,43,7.0,7.0,19.0,5.0,7.0,15.0,84.0,24.0,10.0,13.0,2.0,1.0,0.0,7.0,6.0,14.0,1.0,0.0,19.0,81.0,16.0,30.0,18.0,2.0,0.0,0.0
VALENCIA,ESPANYOL,0-0,0-0,2.8,6.4,6.0,51,49,15.0,1.0,21.0,5.0,10.0,21.0,81.0,31.0,12.0,12.0,2.0,0.0,0.0,4.0,1.0,7.0,2.0,2.0,11.0,81.0,23.0,35.0,10.0,3.0,1.0,0.0
VILLARREAL,SEVILLA FC,3-0,2-0,6.3,7.5,5.7,43,57,3.0,6.0,12.0,3.0,6.0,18.0,78.0,19.0,29.0,7.0,4.0,0.0,0.0,9.0,5.0,21.0,7.0,4.0,28.0,84.0,26.0,24.0,12.0,1.0,0.0,0.0
REAL BETIS,ALAVÉS,1-1,1-1,5.1,6.7,6.1,66,34,4.0,9.0,18.0,5.0,6.0,20.0,89.0,16.0,16.0,10.0,4.0,0.0,0.0,1.0,3.0,6.0,2.0,3.0,11.0,74.0,9.0,24.0,12.0,1.0,0.0,0.0
HUESCA,ATHLETIC,0-1,0-1,2.9,5.0,6.4,50,50,6.0,2.0,12.0,4.0,3.0,23.0,73.0,31.0,20.0,16.0,5.0,0.0,0.0,3.0,4.0,9.0,2.0,5.0,18.0,72.0,35.0,29.0,11.0,1.0,0.0,0.0
ESPANYOL,HUESCA,1-1,1-0,4.8,5.8,7.2,68,32,7.0,2.0,13.0,4.0,7.0,23.0,83.0,17.0,22.0,9.0,2.0,0.0,0.0,6.0,4.0,12.0,2.0,4.0,20.0,71.0,18.0,33.0,16.0,4.0,0.0,0.0
GETAFE,RAYO VALLECANO,2-1,1-0,4.3,6.2,5.7,42,58,7.0,2.0,11.0,2.0,2.0,20.0,68.0,21.0,20.0,12.0,2.0,0.0,0.0,4.0,2.0,7.0,1.0,2.0,19.0,80.0,16.0,13.0,13.0,1.0,0.0,0.0
SEVILLA FC,BARCELONA,2-4,2-1,8.7,5.1,7.9,40,60,3.0,4.0,13.0,6.0,3.0,16.0,78.0,13.0,22.0,15.0,6.0,0.0,0.0,2.0,8.0,17.0,7.0,8.0,23.0,86.0,21.0,22.0,11.0,1.0,0.0,0.0
ALAVÉS,CELTA,0-0,0-0,2.5,6.3,6.6,47,53,10.0,4.0,17.0,3.0,3.0,24.0,78.0,19.0,22.0,15.0,2.0,0.0,0.0,1.0,2.0,8.0,5.0,4.0,18.0,80.0,27.0,33.0,9.0,2.0,0.0,0.0
ATHLETIC,EIBAR,1-0,1-0,3.2,6.5,5.2,45,55,5.0,4.0,9.0,0.0,10.0,32.0,62.0,44.0,21.0,10.0,3.0,0.0,0.0,3.0,2.0,7.0,2.0,2.0,36.0,69.0,31.0,25.0,17.0,4.0,0.0,0.0
LEGANÉS,VALENCIA,1-1,0-1,5.2,6.5,6.0,50,50,8.0,6.0,17.0,3.0,4.0,31.0,81.0,37.0,13.0,14.0,5.0,0.0,0.0,5.0,1.0,6.0,0.0,2.0,16.0,78.0,21.0,31.0,10.0,3.0,0.0,0.0
ATLETICO MADRID,VILLARREAL,2-0,1-0,5.4,7.1,5.4,51,49,5.0,7.0,15.0,3.0,6.0,19.0,87.0,19.0,25.0,9.0,0.0,0.0,0.0,6.0,3.0,14.0,5.0,7.0,17.0,86.0,19.0,14.0,10.0,3.0,0.0,0.0
VALLADOLID,REAL BETIS,0-2,0-1,4.4,6.0,6.9,48,52,5.0,2.0,10.0,3.0,13.0,31.0,83.0,6.0,9.0,10.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,4.0,18.0,84.0,17.0,45.0,9.0,2.0,0.0,0.0
LEVANTE,REAL MADRID,1-2,0-1,7.0,4.8,6.4,39,61,7.0,2.0,11.0,2.0,4.0,18.0,76.0,7.0,14.0,17.0,4.0,1.0,0.0,6.0,5.0,19.0,8.0,6.0,18.0,85.0,15.0,22.0,11.0,2.0,1.0,0.0
GIRONA,REAL SOCIEDAD,0-0,0-0,2.1,6.8,5.7,46,54,4.0,3.0,10.0,3.0,3.0,27.0,77.0,24.0,21.0,26.0,4.0,0.0,0.0,4.0,1.0,7.0,2.0,5.0,22.0,81.0,25.0,27.0,15.0,1.0,0.0,0.0
RAYO VALLECANO,GIRONA,0-2,0-1,4.7,5.2,6.7,54,46,4.0,3.0,9.0,2.0,7.0,25.0,80.0,24.0,16.0,17.0,3.0,0.0,1.0,5.0,4.0,12.0,3.0,1.0,16.0,79.0,19.0,21.0,23.0,4.0,0.0,0.0
ESPANYOL,VALLADOLID,3-1,1-1,6.2,6.5,4.8,54,46,7.0,6.0,15.0,2.0,5.0,23.0,81.0,25.0,15.0,17.0,2.0,0.0,0.0,8.0,3.0,14.0,3.0,3.0,17.0,74.0,15.0,21.0,8.0,2.0,0.0,0.0
VILLARREAL,ALAVÉS,1-2,0-0,4.9,5.7,6.5,60,40,4.0,2.0,9.0,3.0,8.0,21.0,80.0,34.0,14.0,15.0,2.0,0.0,0.0,6.0,2.0,10.0,2.0,2.0,21.0,70.0,29.0,36.0,12.0,3.0,0.0,0.0
HUESCA,SEVILLA FC,2-1,1-0,5.8,6.1,5.3,28,72,3.0,3.0,7.0,1.0,3.0,15.0,54.0,22.0,41.0,15.0,5.0,0.0,0.0,4.0,5.0,12.0,3.0,12.0,14.0,81.0,23.0,20.0,16.0,4.0,0.0,0.0
REAL MADRID,BARCELONA,0-1,0-1,3.9,5.8,7.2,49,51,7.0,3.0,17.0,7.0,8.0,12.0,85.0,10.0,12.0,16.0,3.0,0.0,0.0,5.0,4.0,9.0,0.0,6.0,13.0,84.0,10.0,35.0,13.0,2.0,0.0,0.0
EIBAR,CELTA,1-0,0-0,3.5,6.3,5.3,63,37,5.0,4.0,15.0,6.0,7.0,27.0,76.0,23.0,6.0,14.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,24.0,64.0,28.0,44.0,16.0,1.0,0.0,0.0
REAL BETIS,GETAFE,1-2,0-2,5.0,5.7,6.7,65,35,4.0,2.0,6.0,0.0,4.0,13.0,81.0,24.0,19.0,14.0,2.0,0.0,0.0,2.0,5.0,11.0,4.0,4.0,27.0,66.0,25.0,12.0,14.0,2.0,0.0,0.0
REAL SOCIEDAD,ATLETICO MADRID,0-2,0-2,4.4,5.8,6.6,61,39,11.0,3.0,19.0,5.0,7.0,20.0,88.0,20.0,8.0,12.0,1.0,0.0,0.0,4.0,3.0,8.0,1.0,3.0,13.0,77.0,15.0,35.0,17.0,3.0,1.0,0.0
VALENCIA,ATHLETIC,2-0,0-0,4.0,7.2,5.4,50,50,6.0,3.0,11.0,2.0,6.0,21.0,84.0,11.0,13.0,12.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,17.0,84.0,21.0,22.0,13.0,3.0,0.0,0.0
LEGANÉS,LEVANTE,1-0,1-0,4.0,6.0,5.7,39,61,8.0,3.0,14.0,3.0,2.0,26.0,71.0,22.0,30.0,15.0,6.0,0.0,0.0,8.0,4.0,15.0,3.0,2.0,33.0,81.0,12.0,16.0,10.0,4.0,0.0,0.0
ATHLETIC,ESPANYOL,1-1,0-1,4.4,6.4,6.0,65,35,8.0,6.0,15.0,1.0,7.0,28.0,82.0,29.0,5.0,13.0,3.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,21.0,70.0,22.0,63.0,20.0,5.0,0.0,0.0
ALAVÉS,EIBAR,1-1,0-0,4.2,5.9,6.1,43,57,10.0,3.0,16.0,3.0,3.0,26.0,61.0,43.0,23.0,10.0,1.0,0.0,0.0,12.0,3.0,20.0,5.0,5.0,28.0,69.0,27.0,19.0,18.0,1.0,0.0,0.0
ATLETICO MADRID,LEGANÉS,1-0,0-0,4.0,6.7,5.9,45,55,5.0,4.0,13.0,4.0,4.0,23.0,77.0,20.0,21.0,9.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,30.0,83.0,14.0,14.0,7.0,2.0,0.0,0.0
BARCELONA,RAYO VALLECANO,3-1,1-1,5.8,7.4,5.4,69,31,4.0,6.0,12.0,2.0,10.0,10.0,90.0,5.0,6.0,12.0,1.0,0.0,0.0,3.0,1.0,8.0,4.0,4.0,12.0,79.0,8.0,24.0,17.0,2.0,0.0,0.0
GETAFE,HUESCA,2-1,0-1,5.4,6.7,4.8,57,43,7.0,5.0,13.0,1.0,13.0,37.0,67.0,30.0,11.0,14.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,1.0,22.0,59.0,28.0,32.0,17.0,4.0,0.0,0.0
CELTA,REAL BETIS,0-1,0-0,3.3,5.5,7.2,38,62,6.0,1.0,7.0,0.0,4.0,12.0,82.0,11.0,19.0,17.0,3.0,0.0,0.0,6.0,4.0,14.0,4.0,4.0,9.0,88.0,12.0,12.0,16.0,0.0,0.0,0.0
GIRONA,VALENCIA,2-3,1-1,8.7,5.9,6.0,60,40,6.0,7.0,17.0,4.0,6.0,20.0,84.0,26.0,11.0,13.0,1.0,0.0,0.0,2.0,6.0,11.0,3.0,1.0,27.0,79.0,15.0,26.0,10.0,3.0,1.0,0.0
LEVANTE,VILLARREAL,0-2,0-0,5.2,5.2,6.9,51,49,6.0,3.0,11.0,2.0,8.0,19.0,78.0,7.0,7.0,8.0,3.0,0.0,0.0,5.0,5.0,13.0,3.0,2.0,14.0,80.0,25.0,26.0,21.0,5.0,0.0,0.0
